,text
15,Dear  can you please inform me as to why my order for Xbox one X (4H7M64GDV) placed and paid for in September has not been dispatched
18,"hello I sent a message regarding an order 10 hours ago and I’m still awaiting a response,please help because the delivery is tomorrow"
24,"received a direct order today was supposed to be a kids bike,got it home ( huge box) opened it and it's a SUITCASE !!!"
42,"I ordered flowers for delivery 2moro for a lady who's leaving the company,said delivery can be 7pm! We need it to be before 3pm! Help"
45,Disappointed to find the 1 item we wanted on our food order not delivered along with a late delivery. No surprise
53,"been waiting for a parcel to arrive since 29/10. Still no sign. Only 2/3 items arrived, and no receipt. Please contact me to follow up"
99,"@tesco Tesco Direct site states 'You can pre-order this product now for delivery on the launch date'. Launch date is 27/10, but my order says delivery by 31/10. Which is correct?"
129,This is the fourth time in a row that my  delivery has been delayed! Ridiculous!!!  explain yourselves!! 😠😠😠😡😡😡Grr....
135,"Hi, I can’t seem to add an order note for the delivery to my nans address."
138,package was meant to be delivered to  today and no update on it 😩😩 so sad
161,can you help me with an order please
181,How many days does  think its customers should take off work to receive a furniture delivery? #badcustomerservice
183,orderd wife's birthday present online Monday morning for collection Tuesday from store still no email or txt to say it's arrived
191,my delivery was due to come an hour and a half ago but is still a no show and yet on the website it says it's been delivered. 😪😪😪
211,"Hi, we have been waiting for order number 4P684WBYV to be delivered to Crawley Hazelwick store to collect. Email advised should arrive on 21/11 but no info to say it has been delayed or delivered. Tracking shows it has been with despatch office since Monday. Please help."
223,"delivery booked 8-9, at 9.07 receive text that they'll arrive 9.10-9.40?! Not impressed, I have to leave for work at 9, already late"
231,I’m waiting for a delivery and the most accurate time your tracking can give me is between 8am - 7pm? Terrible service.
236,"at what point do I give up waiting for my delivery that should have been here 8-9pm, then apparently would be with me by 10pm then by 10:30pm and now the call centre is closed? Just wondering if I can go to bed now??"
253,Ordered something from  and received an email to say it has been dispatched….now the waiting game starts!
296,hi - my train is delayed and might miss my delivery 😢 is there any way I can check where the driver is or ask them to wait 20 if I'm not there?
314,"just had a home delivery which was some missing some items which should have been delivered, what should I do?"
317,"hi, my order was booked for 8-9pm tonight but hasn’t arrived + no text from the driver. Can you help track it down/ give me a new ETA? Thanks!"
337,Surreal hour. Saw 2 shoplifters leg it from Vapes shop with manager in pursuit. Got home &amp; large  delivery in kitchen. Wrong house!
352,my home delivery was due between 3 and 4 but no sign of it. Who do I contact?
358,Waist of time ordering with  never delivered anything I wanted blooming useless. 😠
360,knightmare today. You phoned 45 minutes befire our delivery today to tell us its cancelled and cant get a delivery. £10 is NOT adequate compensation.
363,Come on  half 11 and I’m still waiting for my 9-10pm shopping!!! 😤😤
403,"it was bad enough that my delivery came late, but half of my shopping is missing!!!"
404,how long does it take for your system to update and get deliveries to new build please?
426,"hi, I'm wanting to order a toddler bed on your website, do you offer Saturday delivery? All I can see is standard or next day, thanks"
430,oh dear I’m still waiting to get my TV four days after the promise of delivery. Apologies no use if not followed by action
460,hi. I’ve got a PS4 game ordered to be click and collect today but it’s still saying “being processed “ and I haven’t heard anything?
483,My delivery was meant to be here between 8-9pm. It hasn’t arrived and I haven’t received any messages. Sent you a DM. Livid.
496,"Direct - ""Clock and Collect, your order will be hear tomorrow at 3pm""' on Friday

Sunday morning - ""Your order will be hear Monday.

I might as well of gone in story to buy it or even get a delivery. What's with the false promises?"
545,ordered a delivery to the store on Saturday. Still not arrived #AreYouShut?
603,Third week running  have contacted us to tell us our delivery will be late 😡 service is flipping shocking
609,this is the second week that the delivery is late!! 😡
627,I’m disgusted by your delivery service I ordered a Xbox one game last Friday it was dispatched Monday &amp; still hasn’t arrived &amp; customer service was useless &amp; still no game which is a Christmas present  😡😡
628,Last 3 click and collect orders from  Direct have all been late. I certainly won't be ordering from them if I need anything in a hurry!
634,"hey, just checking on order I placed for Super Mario Odyssey.. The website says due for delivery tue 31st, but its out on the 27th.."
635,"hi I pre ordered ww2 online, how and when will I receive the double xp and unlock bonuses? Thanks"
637,Shocking  delivery tonight! Poor driver embarrassed as NONE of our fridge order was sent on the delivery! Sick hubby now gone to Asda!
750,"Order did not arrive, no email or call to explain, I waited in. Nothing. Had to call.  Very poor show. Would not use again"
755,Hi!! Can you help me track a click and collect order that seems to have gone astray? 😮
765,please start a desert delivery service I really want your chocolate fudge cake and custard but it’s like -1  degrees outside and I’m lazy
780,"as usual, trifles in home delivery all over the place/packed upside down so all cream on lid and structure lost. Today's order https://t.co/0K26nLF1iG"
785,same day delivery service is fabulous being able to shop today at 12 and it's delivered by 7 wow fab service when you can't get to the shop to thanks
815,"Hi , not sure last night's delivery should be inedible already?! https://t.co/ue2wPdkWbw"
836,come home especially for my delivery... still not here. #everylittlehelps https://t.co/2bcGaGcWRo
856,getting ready for Christmas but my order never showed up??😭
875,my order was dispatched Saturday?!! Not had any updates and it needs to be signed for? An estimated date time please? https://t.co/PoonMGXQAe
879,How does a delivery dispatched from Coventry at 3am not make it to London by 7 30pm? Pretty shoddy for once
962,shopping delivery over 90 minutes late yesterday!! Please can you at least refund delivery charge? Order 601786258
987,food delivery due between 9-10pm. Still not arrived. Customer services did not answer call. Services now closed. What should I do? https://t.co/xSuRPWAivN
1044,Ok  how long do I have to wait for food delivery?? Half hour late seriously annoyed now getting tired!!
1063,Hi - you cancelled part of my order as you do not have stock and said you would refund that part but the item has now disappeared from my order. Can you check please? My order number is: 4P66D49PQ. Thanks
1065,"my delivery didn’t arrive, I waited until 11pm the end of the slot and now all you lines are closed!!! 😡😡😡😡"
1087,".  Pretty poor to cancel a delivery half an hour after slot has ended due to ""driver absence"". Thanks for nothing - literally!"
1127,"hi, i have an order to store that says it would be available to be collected today but isnt, can you help please"
